battery_id,tester_cycle,capacity_ah,source,predicted_eol_tester
BAT_001,50,3.0901,observed,1200.0
BAT_001,100,3.0725,observed,1200.0
BAT_001,150,3.0604,observed,1200.0
BAT_001,200,3.0471,observed,1200.0
BAT_001,250,3.0251,predicted,1200.0
BAT_001,300,3.0026,predicted,1200.0
BAT_001,350,2.9801,predicted,1200.0
BAT_001,400,2.9576,predicted,1200.0
BAT_001,450,2.9351,predicted,1200.0
BAT_001,500,2.9126,predicted,1200.0
BAT_001,550,2.8901,predicted,1200.0
BAT_001,600,2.8676,predicted,1200.0
BAT_001,650,2.8451,predicted,1200.0
BAT_001,700,2.8226,predicted,1200.0
BAT_001,750,2.8001,predicted,1200.0
BAT_001,800,2.7776,predicted,1200.0
BAT_001,850,2.7551,predicted,1200.0
BAT_001,900,2.7326,predicted,1200.0
BAT_001,950,2.7101,predicted,1200.0
BAT_001,1000,2.6876,predicted,1200.0
BAT_001,1050,2.6651,predicted,1200.0
BAT_001,1100,2.6426,predicted,1200.0
BAT_001,1150,2.6201,predicted,1200.0
BAT_001,1200,2.5976,predicted,1200.0
BAT_002,50,3.0052,observed,1200.0
BAT_002,100,2.9948,observed,1200.0
BAT_002,150,2.9923,observed,1200.0
BAT_002,200,2.9662,observed,1200.0
BAT_002,250,2.9446,predicted,1200.0
BAT_002,300,2.9226,predicted,1200.0
BAT_002,350,2.9005,predicted,1200.0
BAT_002,400,2.8785,predicted,1200.0
BAT_002,450,2.8564,predicted,1200.0
BAT_002,500,2.8343,predicted,1200.0
BAT_002,550,2.8123,predicted,1200.0
BAT_002,600,2.7902,predicted,1200.0
BAT_002,650,2.7682,predicted,1200.0
BAT_002,700,2.7461,predicted,1200.0
BAT_002,750,2.7241,predicted,1200.0
BAT_002,800,2.702,predicted,1200.0
BAT_002,850,2.68,predicted,1200.0
BAT_002,900,2.6579,predicted,1200.0
BAT_002,950,2.6359,predicted,1200.0
BAT_002,1000,2.6138,predicted,1200.0
BAT_002,1050,2.5918,predicted,1200.0
BAT_002,1100,2.5697,predicted,1200.0
BAT_002,1150,2.5477,predicted,1200.0
BAT_002,1200,2.5256,predicted,1200.0
BAT_003,50,3.0542,observed,1200.0
BAT_003,100,3.0481,observed,1200.0
BAT_003,150,3.0317,observed,1200.0
BAT_003,200,3.0201,observed,1200.0
BAT_003,250,2.9985,predicted,1200.0
BAT_003,300,2.9764,predicted,1200.0
BAT_003,350,2.9543,predicted,1200.0
BAT_003,400,2.9321,predicted,1200.0
BAT_003,450,2.91,predicted,1200.0
BAT_003,500,2.8879,predicted,1200.0
BAT_003,550,2.8658,predicted,1200.0
BAT_003,600,2.8437,predicted,1200.0
BAT_003,650,2.8216,predicted,1200.0
BAT_003,700,2.7995,predicted,1200.0
BAT_003,750,2.7774,predicted,1200.0
BAT_003,800,2.7553,predicted,1200.0
BAT_003,850,2.7332,predicted,1200.0
BAT_003,900,2.7111,predicted,1200.0
BAT_003,950,2.6889,predicted,1200.0
BAT_003,1000,2.6668,predicted,1200.0
BAT_003,1050,2.6447,predicted,1200.0
BAT_003,1100,2.6226,predicted,1200.0
BAT_003,1150,2.6005,predicted,1200.0
BAT_003,1200,2.5784,predicted,1200.0
BAT_004,50,3.0662,observed,1200.0
BAT_004,100,3.0526,observed,1200.0
BAT_004,150,3.0412,observed,1200.0
BAT_004,200,3.0214,observed,1200.0
BAT_004,250,2.9984,predicted,1200.0
BAT_004,300,2.975,predicted,1200.0
BAT_004,350,2.9515,predicted,1200.0
BAT_004,400,2.9281,predicted,1200.0
BAT_004,450,2.9046,predicted,1200.0
BAT_004,500,2.8812,predicted,1200.0
BAT_004,550,2.8577,predicted,1200.0
BAT_004,600,2.8343,predicted,1200.0
BAT_004,650,2.8108,predicted,1200.0
BAT_004,700,2.7873,predicted,1200.0
BAT_004,750,2.7639,predicted,1200.0
BAT_004,800,2.7404,predicted,1200.0
BAT_004,850,2.717,predicted,1200.0
BAT_004,900,2.6935,predicted,1200.0
BAT_004,950,2.6701,predicted,1200.0
BAT_004,1000,2.6466,predicted,1200.0
BAT_004,1050,2.6232,predicted,1200.0
BAT_004,1100,2.5997,predicted,1200.0
BAT_004,1150,2.5763,predicted,1200.0
BAT_004,1200,2.5528,predicted,1200.0
BAT_005,50,3.0095,observed,1200.0
BAT_005,100,3.0056,observed,1200.0
BAT_005,150,2.978,observed,1200.0
BAT_005,200,2.9669,observed,1200.0
BAT_005,250,2.9463,predicted,1200.0
BAT_005,300,2.9252,predicted,1200.0
BAT_005,350,2.9041,predicted,1200.0
BAT_005,400,2.883,predicted,1200.0
BAT_005,450,2.8619,predicted,1200.0
BAT_005,500,2.8408,predicted,1200.0
BAT_005,550,2.8197,predicted,1200.0
BAT_005,600,2.7987,predicted,1200.0
BAT_005,650,2.7776,predicted,1200.0
BAT_005,700,2.7565,predicted,1200.0
BAT_005,750,2.7354,predicted,1200.0
BAT_005,800,2.7143,predicted,1200.0
BAT_005,850,2.6932,predicted,1200.0
BAT_005,900,2.6721,predicted,1200.0
BAT_005,950,2.651,predicted,1200.0
BAT_005,1000,2.63,predicted,1200.0
BAT_005,1050,2.6089,predicted,1200.0
BAT_005,1100,2.5878,predicted,1200.0
BAT_005,1150,2.5667,predicted,1200.0
BAT_005,1200,2.5456,predicted,1200.0
BAT_006,50,3.0267,observed,1200.0
BAT_006,100,3.0061,observed,1200.0
BAT_006,150,2.9897,observed,1200.0
BAT_006,200,2.9794,observed,1200.0
BAT_006,250,2.958,predicted,1200.0
BAT_006,300,2.9362,predicted,1200.0
BAT_006,350,2.9144,predicted,1200.0
BAT_006,400,2.8926,predicted,1200.0
BAT_006,450,2.8708,predicted,1200.0
BAT_006,500,2.849,predicted,1200.0
BAT_006,550,2.8273,predicted,1200.0
BAT_006,600,2.8055,predicted,1200.0
BAT_006,650,2.7837,predicted,1200.0
BAT_006,700,2.7619,predicted,1200.0
BAT_006,750,2.7401,predicted,1200.0
BAT_006,800,2.7183,predicted,1200.0
BAT_006,850,2.6965,predicted,1200.0
BAT_006,900,2.6747,predicted,1200.0
BAT_006,950,2.6529,predicted,1200.0
BAT_006,1000,2.6312,predicted,1200.0
BAT_006,1050,2.6094,predicted,1200.0
BAT_006,1100,2.5876,predicted,1200.0
BAT_006,1150,2.5658,predicted,1200.0
BAT_006,1200,2.544,predicted,1200.0
BAT_007,50,3.054,observed,1200.0
BAT_007,100,3.0451,observed,1200.0
BAT_007,150,3.0261,observed,1200.0
BAT_007,200,3.022,observed,1200.0
