battery_id,tester_cycle,health_percent,source,predicted_eol_tester
BAT_001,50,95.17,observed,1200.0
BAT_001,100,94.62,observed,1200.0
BAT_001,150,94.25,observed,1200.0
BAT_001,200,93.84,observed,1200.0
BAT_001,250,93.16,predicted,1200.0
BAT_001,300,92.47,predicted,1200.0
BAT_001,350,91.78,predicted,1200.0
BAT_001,400,91.09,predicted,1200.0
BAT_001,450,90.39,predicted,1200.0
BAT_001,500,89.7,predicted,1200.0
BAT_001,550,89.01,predicted,1200.0
BAT_001,600,88.31,predicted,1200.0
BAT_001,650,87.62,predicted,1200.0
BAT_001,700,86.93,predicted,1200.0
BAT_001,750,86.24,predicted,1200.0
BAT_001,800,85.54,predicted,1200.0
BAT_001,850,84.85,predicted,1200.0
BAT_001,900,84.16,predicted,1200.0
BAT_001,950,83.46,predicted,1200.0
BAT_001,1000,82.77,predicted,1200.0
BAT_001,1050,82.08,predicted,1200.0
BAT_001,1100,81.39,predicted,1200.0
BAT_001,1150,80.69,predicted,1200.0
BAT_001,1200,80.0,predicted,1200.0
BAT_002,50,95.19,observed,1200.0
BAT_002,100,94.86,observed,1200.0
BAT_002,150,94.78,observed,1200.0
BAT_002,200,93.96,observed,1200.0
BAT_002,250,93.27,predicted,1200.0
BAT_002,300,92.57,predicted,1200.0
BAT_002,350,91.88,predicted,1200.0
BAT_002,400,91.18,predicted,1200.0
BAT_002,450,90.48,predicted,1200.0
BAT_002,500,89.78,predicted,1200.0
BAT_002,550,89.08,predicted,1200.0
BAT_002,600,88.38,predicted,1200.0
BAT_002,650,87.68,predicted,1200.0
BAT_002,700,86.99,predicted,1200.0
BAT_002,750,86.29,predicted,1200.0
BAT_002,800,85.59,predicted,1200.0
BAT_002,850,84.89,predicted,1200.0
BAT_002,900,84.19,predicted,1200.0
BAT_002,950,83.49,predicted,1200.0
BAT_002,1000,82.79,predicted,1200.0
BAT_002,1050,82.1,predicted,1200.0
BAT_002,1100,81.4,predicted,1200.0
BAT_002,1150,80.7,predicted,1200.0
BAT_002,1200,80.0,predicted,1200.0
BAT_003,50,94.76,observed,1200.0
BAT_003,100,94.57,observed,1200.0
BAT_003,150,94.07,observed,1200.0
BAT_003,200,93.71,observed,1200.0
BAT_003,250,93.03,predicted,1200.0
BAT_003,300,92.35,predicted,1200.0
BAT_003,350,91.66,predicted,1200.0
BAT_003,400,90.98,predicted,1200.0
BAT_003,450,90.29,predicted,1200.0
BAT_003,500,89.6,predicted,1200.0
BAT_003,550,88.92,predicted,1200.0
BAT_003,600,88.23,predicted,1200.0
BAT_003,650,87.55,predicted,1200.0
BAT_003,700,86.86,predicted,1200.0
BAT_003,750,86.17,predicted,1200.0
BAT_003,800,85.49,predicted,1200.0
BAT_003,850,84.8,predicted,1200.0
BAT_003,900,84.12,predicted,1200.0
BAT_003,950,83.43,predicted,1200.0
BAT_003,1000,82.74,predicted,1200.0
BAT_003,1050,82.06,predicted,1200.0
BAT_003,1100,81.37,predicted,1200.0
BAT_003,1150,80.69,predicted,1200.0
BAT_003,1200,80.0,predicted,1200.0
BAT_004,50,96.09,observed,1200.0
BAT_004,100,95.66,observed,1200.0
BAT_004,150,95.3,observed,1200.0
BAT_004,200,94.69,observed,1200.0
BAT_004,250,93.97,predicted,1200.0
BAT_004,300,93.23,predicted,1200.0
BAT_004,350,92.5,predicted,1200.0
BAT_004,400,91.76,predicted,1200.0
BAT_004,450,91.03,predicted,1200.0
BAT_004,500,90.29,predicted,1200.0
BAT_004,550,89.56,predicted,1200.0
BAT_004,600,88.82,predicted,1200.0
BAT_004,650,88.09,predicted,1200.0
BAT_004,700,87.35,predicted,1200.0
BAT_004,750,86.62,predicted,1200.0
BAT_004,800,85.88,predicted,1200.0
BAT_004,850,85.15,predicted,1200.0
BAT_004,900,84.41,predicted,1200.0
BAT_004,950,83.68,predicted,1200.0
BAT_004,1000,82.94,predicted,1200.0
BAT_004,1050,82.21,predicted,1200.0
BAT_004,1100,81.47,predicted,1200.0
BAT_004,1150,80.74,predicted,1200.0
BAT_004,1200,80.0,predicted,1200.0
BAT_005,50,94.58,observed,1200.0
BAT_005,100,94.45,observed,1200.0
BAT_005,150,93.59,observed,1200.0
BAT_005,200,93.24,observed,1200.0
BAT_005,250,92.59,predicted,1200.0
BAT_005,300,91.93,predicted,1200.0
BAT_005,350,91.27,predicted,1200.0
BAT_005,400,90.6,predicted,1200.0
BAT_005,450,89.94,predicted,1200.0
BAT_005,500,89.28,predicted,1200.0
BAT_005,550,88.62,predicted,1200.0
BAT_005,600,87.95,predicted,1200.0
BAT_005,650,87.29,predicted,1200.0
BAT_005,700,86.63,predicted,1200.0
BAT_005,750,85.96,predicted,1200.0
BAT_005,800,85.3,predicted,1200.0
BAT_005,850,84.64,predicted,1200.0
BAT_005,900,83.98,predicted,1200.0
BAT_005,950,83.31,predicted,1200.0
BAT_005,1000,82.65,predicted,1200.0
BAT_005,1050,81.99,predicted,1200.0
BAT_005,1100,81.33,predicted,1200.0
BAT_005,1150,80.66,predicted,1200.0
BAT_005,1200,80.0,predicted,1200.0
BAT_006,50,95.18,observed,1200.0
BAT_006,100,94.53,observed,1200.0
BAT_006,150,94.01,observed,1200.0
BAT_006,200,93.69,observed,1200.0
BAT_006,250,93.02,predicted,1200.0
BAT_006,300,92.33,predicted,1200.0
BAT_006,350,91.65,predicted,1200.0
BAT_006,400,90.96,predicted,1200.0
BAT_006,450,90.28,predicted,1200.0
BAT_006,500,89.59,predicted,1200.0
BAT_006,550,88.91,predicted,1200.0
BAT_006,600,88.22,predicted,1200.0
BAT_006,650,87.54,predicted,1200.0
BAT_006,700,86.85,predicted,1200.0
BAT_006,750,86.17,predicted,1200.0
BAT_006,800,85.48,predicted,1200.0
BAT_006,850,84.8,predicted,1200.0
BAT_006,900,84.11,predicted,1200.0
BAT_006,950,83.43,predicted,1200.0
BAT_006,1000,82.74,predicted,1200.0
BAT_006,1050,82.06,predicted,1200.0
BAT_006,1100,81.37,predicted,1200.0
BAT_006,1150,80.69,predicted,1200.0
BAT_006,1200,80.0,predicted,1200.0
BAT_007,50,95.62,observed,1200.0
BAT_007,100,95.34,observed,1200.0
BAT_007,150,94.74,observed,1200.0
BAT_007,200,94.61,observed,1200.0
BAT_007,250,93.9,predicted,1200.0
BAT_007,300,93.17,predicted,1200.0
BAT_007,350,92.43,predicted,1200.0
BAT_007,400,91.7,predicted,1200.0
BAT_007,450,90.97,predicted,1200.0
BAT_007,500,90.24,predicted,1200.0
BAT_007,550,89.51,predicted,1200.0
BAT_007,600,88.78,predicted,1200.0
BAT_007,650,88.05,predicted,1200.0
BAT_007,700,87.31,predicted,1200.0
BAT_007,750,86.58,predicted,1200.0
BAT_007,800,85.85,predicted,1200.0
BAT_007,850,85.12,predicted,1200.0
BAT_007,900,84.39,predicted,1200.0
BAT_007,950,83.66,predicted,1200.0
BAT_007,1000,82.93,predicted,1200.0
BAT_007,1050,82.19,predicted,1200.0
BAT_007,1100,81.46,predicted,1200.0
BAT_007,1150,80.73,predicted,1200.0
BAT_007,1200,80.0,predicted,1200.0
BAT_008,50,95.07,observed,1200.0
BAT_008,100,94.44,observed,1200.0
BAT_008,150,93.84,observed,1200.0
BAT_008,200,93.85,observed,1200.0
BAT_008,250,93.17,predicted,1200.0
BAT_008,300,92.48,predicted,1200.0
BAT_008,350,91.78,predicted,1200.0
BAT_008,400,91.09,predicted,1200.0
BAT_008,450,90.4,predicted,1200.0
BAT_008,500,89.7,predicted,1200.0
BAT_008,550,89.01,predicted,1200.0
BAT_008,600,88.32,predicted,1200.0
BAT_008,650,87.62,predicted,1200.0
BAT_008,700,86.93,predicted,1200.0
BAT_008,750,86.24,predicted,1200.0
BAT_008,800,85.55,predicted,1200.0
BAT_008,850,84.85,predicted,1200.0
BAT_008,900,84.16,predicted,1200.0
BAT_008,950,83.47,predicted,1200.0
BAT_008,1000,82.77,predicted,1200.0
BAT_008,1050,82.08,predicted,1200.0
BAT_008,1100,81.39,predicted,1200.0
BAT_008,1150,80.69,predicted,1200.0
BAT_008,1200,80.0,predicted,1200.0
BAT_009,50,95.28,observed,1200.0
BAT_009,100,94.94,observed,1200.0
BAT_009,150,94.17,observed,1200.0
BAT_009,200,94.06,observed,1200.0
BAT_009,250,93.37,predicted,1200.0
BAT_009,300,92.67,predicted,1200.0
BAT_009,350,91.96,predicted,1200.0
BAT_009,400,91.26,predicted,1200.0
BAT_009,450,90.56,predicted,1200.0
BAT_009,500,89.85,predicted,1200.0
BAT_009,550,89.15,predicted,1200.0
BAT_009,600,88.45,predicted,1200.0
BAT_009,650,87.74,predicted,1200.0
BAT_009,700,87.04,predicted,1200.0
BAT_009,750,86.33,predicted,1200.0
BAT_009,800,85.63,predicted,1200.0
BAT_009,850,84.93,predicted,1200.0
BAT_009,900,84.22,predicted,1200.0
BAT_009,950,83.52,predicted,1200.0
BAT_009,1000,82.82,predicted,1200.0
BAT_009,1050,82.11,predicted,1200.0
BAT_009,1100,81.41,predicted,1200.0
BAT_009,1150,80.7,predicted,1200.0
BAT_009,1200,80.0,predicted,1200.0
BAT_010,50,95.18,observed,1200.0
BAT_010,100,94.57,observed,1200.0
BAT_010,150,94.19,observed,1200.0
BAT_010,200,93.88,observed,1200.0
BAT_010,250,93.2,predicted,1200.0
BAT_010,300,92.5,predicted,1200.0
BAT_010,350,91.81,predicted,1200.0
BAT_010,400,91.11,predicted,1200.0
BAT_010,450,90.42,predicted,1200.0
BAT_010,500,89.72,predicted,1200.0
BAT_010,550,89.03,predicted,1200.0
BAT_010,600,88.33,predicted,1200.0
BAT_010,650,87.64,predicted,1200.0
BAT_010,700,86.95,predicted,1200.0
BAT_010,750,86.25,predicted,1200.0
BAT_010,800,85.56,predicted,1200.0
BAT_010,850,84.86,predicted,1200.0
BAT_010,900,84.17,predicted,1200.0
BAT_010,950,83.47,predicted,1200.0
BAT_010,1000,82.78,predicted,1200.0
BAT_010,1050,82.08,predicted,1200.0
BAT_010,1100,81.39,predicted,1200.0
BAT_010,1150,80.69,predicted,1200.0
BAT_010,1200,80.0,predicted,1200.0
BAT_011,50,94.77,observed,1200.0
BAT_011,100,94.05,observed,1200.0
BAT_011,150,93.59,observed,1200.0
BAT_011,200,93.06,observed,1200.0
BAT_011,250,92.42,predicted,1200.0
BAT_011,300,91.77,predicted,1200.0
BAT_011,350,91.12,predicted,1200.0
BAT_011,400,90.46,predicted,1200.0
BAT_011,450,89.81,predicted,1200.0
BAT_011,500,89.15,predicted,1200.0
BAT_011,550,88.5,predicted,1200.0
BAT_011,600,87.85,predicted,1200.0
BAT_011,650,87.19,predicted,1200.0
BAT_011,700,86.54,predicted,1200.0
BAT_011,750,85.89,predicted,1200.0
BAT_011,800,85.23,predicted,1200.0
BAT_011,850,84.58,predicted,1200.0
BAT_011,900,83.92,predicted,1200.0
BAT_011,950,83.27,predicted,1200.0
BAT_011,1000,82.62,predicted,1200.0
BAT_011,1050,81.96,predicted,1200.0
BAT_011,1100,81.31,predicted,1200.0
BAT_011,1150,80.65,predicted,1200.0
BAT_011,1200,80.0,predicted,1200.0
BAT_012,50,94.49,observed,1200.0
BAT_012,100,93.78,observed,1200.0
